양천구청,32,1,4446,1103,11485,1847,32301,4857,31129,10250,18162,6274,12884,5642,12390,5650,11786,7115,11166,8892,9493,9335,8792,11307,9574,13709,11141,17675,10869,27863,4771,28194,3141,16394,2666,15387,2590,14191,952,11436,178,3912,0,44,0,0,0,0
신정네거리,17,2,8346,1720,13140,5446,43628,4368,42708,12130,24574,9212,16810,7383,16011,8884,16168,9476,15055,11690,13226,12788,12521,15829,13719,19400,15741,26160,14582,40556,8304,38027,6041,21092,4992,20287,4170,18294,2016,13044,277,3685,2,211,0,0,0,0
용두(동대문구청),9,0,935,134,1579,900,4860,2348,7986,7193,3987,3407,3450,3534,3769,4120,4430,4363,4819,5099,5267,5260,5486,5287,5593,4594,5932,4900,7026,7553,3268,6085,2158,3356,1747,3254,1319,2525,418,1920,87,645,0,16,1,1,0,0
지축,0,1,264,498,1272,2812,3988,1664,4652,1674,3009,1050,2166,995,1835,1093,1984,1333,1726,1424,1538,1566,1759,2175,2339,2652,3051,2892,1407,4497,582,3606,357,2624,262,2268,137,1723,54,900,19,75,2,2,0,1,0,0
구파발,112,5,9254,1300,28180,10121,91650,15431,92572,23219,45870,23683,31515,22251,28180,21384,29672,23603,29541,25045,27975,26005,29029,28516,34116,33369,36165,39843,33928,69941,21193,66774,16165,39088,15116,35168,12877,33525,3796,24079,737,8207,1,839,0,0,0,0
연신내,278,13,26634,1837,51519,12537,148742,19568,188855,40039,103808,43807,70918,38958,66717,39287,73081,44430,70166,51131,63329,55741,61163,66508,65327,77739,66165,94900,62241,151406,43056,154835,33277,92125,32077,80803,28405,78581,15618,52465,2972,18400,1,28,0,0,0,0
불광,55,4,11120,1634,24255,9180,70446,13195,89649,40289,49547,41394,37052,35751,35644,33771,38492,37770,42823,45187,42175,44299,44283,46447,48041,50686,49051,58427,52327,87818,31426,79594,24319,45833,22734,39682,16789,38380,6650,24718,1068,8390,0,3,1,1,0,0
녹번,12,2,7906,1614,18687,9783,55607,7642,69612,18370,38118,10909,24717,9772,21756,9508,20893,10664,20237,13080,18250,14304,16934,16883,18960,20767,22301,26366,22539,41822,10069,46403,7407,27748,6459,26011,4517,24066,2157,15577,303,4405,0,0,0,0,0,0
홍제,55,0,8777,1440,21723,7206,62354,11798,82466,27168,49786,20522,35672,18748,33376,19451,35156,22653,33385,24930,30377,26969,30062,32119,31032,36401,32773,43308,33274,62817,18004,61790,13612,37022,11586,33059,8325,32214,3705,20989,563,5939,0,1,0,0,0,0
무악재,26,5,1949,183,4579,1620,14773,3140,18568,5035,10661,3453,8055,3381,7022,3988,6824,4111,6224,4846,5368,5521,5131,6555,5493,7346,6099,9043,7121,14042,3455,14348,2457,9216,2196,8330,1626,8304,689,5473,110,1823,0,0,0,0,0,0
